City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,mata-utu,-13.2816,-176.1745,299.81,76,48,2.78,WF,1726683639
289,ballasalla,54.0959,-4.6296,289.04,72,0,4.12,IM,1726683640
290,coquimbo,-29.9533,-71.3436,286.0,94,100,6.17,CL,1726683641
291,heihe,50.2441,127.4902,276.47,45,100,0.29,CN,1726683642
292,villa bruzual,9.3328,-69.1208,306.11,52,73,3.89,VE,1726683643
293,tiksi,71.6872,128.8694,273.03,90,100,8.71,RU,1726683644
294,duba,27.3513,35.6901,303.24,64,0,1.88,SA,1726683645
295,nemuro,43.3236,145.575,289.32,87,0,3.22,JP,1726683646
296,tosontsengel,48.7567,98.2839,275.27,74,99,2.4,MN,1726683647
297,funafuti,-8.5243,179.1942,300.15,89,75,0.0,TV,1726683648
298,al wasitah,29.3378,31.2056,302.4,36,0,6.59,EG,1726683650
299,aasiaat,68.7098,-52.8699,273.8,82,28,3.19,GL,1726683651
300,bady bassitt,-20.9181,-49.4453,307.26,24,0,2.57,BR,1726683652
301,yambio,4.5721,28.3955,296.26,82,20,0.41,SS,1726683653
302,betio village,1.358,172.9211,300.7,74,18,3.59,KI,1726683654
303,miramichi,47.0043,-65.4654,303.17,38,22,2.27,CA,1726683655
304,kapa'a,22.0752,-159.319,300.33,81,100,6.69,US,1726683656
305,tete,-16.1564,33.5867,305.2,25,0,2.06,MZ,1726683658
306,nago,26.5881,127.9761,300.81,90,100,6.86,JP,1726683659
307,jorpeland,59.0225,6.0408,289.05,82,41,0.97,NO,1726683661
308,beau vallon,-20.4189,57.6953,295.28,83,75,1.54,MU,1726683662
309,kumeny,58.1089,49.9161,287.37,64,4,3.17,RU,1726683663
310,thisted,56.9552,8.6949,287.83,82,32,3.49,DK,1726683664
311,hotan,37.0997,79.9269,296.82,27,0,2.0,CN,1726683665
312,nikolayevsk-on-amure,53.1406,140.73,277.18,97,100,2.17,RU,1726683666
313,yerofey pavlovich,53.9667,121.9667,273.06,80,5,1.4,RU,1726683667
314,hailar,49.2,119.7,279.38,89,100,9.27,CN,1726683668
315,port alfred,-33.5906,26.891,289.36,81,47,0.45,ZA,1726683669
316,humberto de campos,-2.5983,-43.4611,306.12,43,2,6.28,BR,1726683670
317,pachino,36.7186,15.0907,296.51,71,75,3.45,IT,1726683671
318,al hudaydah,14.7978,42.9545,305.34,62,13,4.17,YE,1726683672
319,levuka,50.1834,-105.4011,293.0,88,75,6.69,CA,1726683673
320,rabaul,-4.1967,152.1721,299.76,80,26,4.0,PG,1726683675
321,nagqu,31.5,92.0,277.18,90,85,1.6,CN,1726683676
322,taroa,8.7058,171.2275,301.27,77,15,3.59,MH,1726683677
323,mothihari,26.65,84.9167,301.71,66,1,1.46,IN,1726683678
324,banda aceh,5.5577,95.3222,299.67,76,100,7.86,ID,1726683679
325,beloyarskiy,63.7119,66.6722,284.77,86,99,2.42,RU,1726683680
326,kingston,17.997,-76.7936,308.8,52,20,9.26,JM,1726683463
327,bozhou,33.8772,115.7703,297.74,94,100,4.12,CN,1726683682
328,east london,-33.0153,27.9116,289.67,77,0,3.6,ZA,1726683683
329,juhaynah,26.6732,31.4976,303.89,23,0,8.21,EG,1726683684
330,grootfontein,-19.5667,18.1167,296.91,14,95,0.51,NA,1726683685
331,geraldton,-28.7667,114.6,283.38,87,0,3.09,AU,1726683468
332,santa cruz,-17.8,-63.1667,306.85,40,1,8.23,BO,1726683530
333,zeya,53.75,127.2667,274.81,75,4,1.74,RU,1726683689
334,pursat,12.3333,103.6667,295.06,96,100,1.46,KH,1726683690
335,abepura,-2.6333,140.5833,297.6,94,20,0.51,ID,1726683691
336,cabo san lucas,22.8909,-109.9124,301.32,65,20,6.17,MX,1726683394
337,las lomitas,-24.7096,-60.593,310.3,23,19,4.34,AR,1726683694
338,avarua,-21.2078,-159.775,297.18,94,20,2.57,CK,1726683696
339,qaqortoq,60.7167,-46.0333,279.98,53,70,1.54,GL,1726683697
340,owando,-0.4819,15.8999,296.7,94,96,1.47,CG,1726683698
341,podgornoye,51.735,39.1496,283.27,57,20,0.0,RU,1726683700
342,gonabad,34.3529,58.6837,294.99,31,4,9.12,IR,1726683701
343,panjakent,39.4952,67.6093,292.29,28,93,1.28,TJ,1726683702
344,chibougamau,49.9168,-74.3659,298.94,47,40,6.69,CA,1726683703
345,petropavlovsk-kamchatsky,53.0452,158.6483,280.48,100,75,2.0,RU,1726683704
346,al kharijah,25.4514,30.5464,302.14,23,3,3.7,EG,1726683705
347,say,13.1007,2.3689,300.96,75,74,6.14,NE,1726683706
348,nuuk,64.1835,-51.7216,276.49,93,75,2.06,GL,1726683578
349,princeville,45.7668,-61.2985,300.72,67,0,3.6,CA,1726683708
350,sabang,5.8933,95.3214,300.84,79,100,12.66,ID,1726683709
351,rurrenabaque,-14.4413,-67.5278,308.98,46,3,4.12,BO,1726683710
352,labrador city,52.9463,-66.9114,288.81,53,40,3.6,CA,1726683713
353,kyren,51.6828,102.1408,271.59,90,16,0.99,RU,1726683714
354,phan rang-thap cham,11.5667,108.9833,297.96,87,100,0.74,VN,1726683715
355,fale old settlement,-9.3852,-171.2468,300.82,70,5,3.33,TK,1726683716
356,arawa,-6.2132,155.5367,297.75,91,23,0.9,PG,1726683717
357,mariehamn,60.0973,19.9348,285.07,94,0,0.0,AX,1726683718
358,pontes e lacerda,-15.2261,-59.3353,315.07,14,4,2.48,BR,1726683719
359,prado,-17.3411,-39.2208,298.19,70,15,3.18,BR,1726683720
360,la asuncion,11.0333,-63.8628,303.84,64,100,2.54,VE,1726683721
361,kwang binh,17.4833,106.6,297.88,90,100,5.32,VN,1726683722
362,sodo,6.8642,37.7628,288.32,84,88,1.44,ET,1726683724
363,vangviang,18.9333,102.45,293.98,98,95,0.91,LA,1726683725
364,altagracia de orituco,9.8601,-66.3814,304.93,53,60,2.56,VE,1726683726
